attempt_id,candidate_id,benchmark,local_proof_status,proof_backend,schema_version
distributed_affine_divisor__decomp__refactor,distributed_affine_divisor__decomp,distributed_affine_divisor,equivalent,z3,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__refactor,shared_add_add_divisor__decomp,shared_add_add_divisor,equivalent,z3,semantic_functional_refactoring_v1
bilinear_divisor__decomp__refactor,bilinear_divisor__decomp,bilinear_divisor,equivalent,z3,semantic_functional_refactoring_v1
mac_divisor__decomp__refactor,mac_divisor__decomp,mac_divisor,equivalent,z3,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__refactor,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,equivalent,z3,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__refactor,boolean_obscured_divisor__decomp,boolean_obscured_divisor,equivalent,z3,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__refactor,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,equivalent,z3,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__refactor,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,equivalent,z3,semantic_functional_refactoring_v1
requires_residual_variable__decomp__refactor,requires_residual_variable__decomp,requires_residual_variable,equivalent,z3,semantic_functional_refactoring_v1
requires_multi_output_m__decomp__refactor,requires_multi_output_m__decomp,requires_multi_output_m,equivalent,z3,semantic_functional_refactoring_v1
negative_information_lost__decomp__refactor,negative_information_lost__decomp,negative_information_lost,not_proven,z3,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__refactor,negative_h_ignores_m__decomp,negative_h_ignores_m,equivalent,z3,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__refactor,negative_identity_divisor__decomp,negative_identity_divisor,equivalent,z3,semantic_functional_refactoring_v1
